date,usd,eur
2024-01-29,36.202,39.30704554
2024-01-26,36.1186,39.16303679
2024-01-25,36.1187,39.38419166
2024-01-24,36.1279,39.18865568
2024-01-23,36.1104,39.3336143
2024-01-22,36.1459,39.3249319
2024-01-19,36.1379,39.25298698
2024-01-18,36.0761,39.17539775
2024-01-17,36.0466,39.20464262
2024-01-16,35.9744,39.37577952
2024-01-15,36.0397,39.58240251
2024-01-12,35.9629,39.35995553
2024-01-11,35.9437,39.33822302
2024-01-10,35.9171,39.3019275
2024-01-09,35.9385,39.38033014
2024-01-08,36.0065,39.51461329
2024-01-05,36.0345,39.49164993
2024-01-04,35.9496,39.24006688
2024-01-03,35.867,39.30987333
2024-01-02,35.9593,39.81665411
2023-12-29,35.9305,39.9044133
2023-12-28,35.8348,39.79562044
2023-12-27,35.7827,39.4736855
2023-12-26,35.8134,39.47675268
2023-12-22,35.7874,39.31890063
2023-12-21,35.732,39.19192956
2023-12-20,35.7156,39.20929999
2023-12-19,35.654,38.9448642
2023-12-18,35.7247,39.00887167
2023-12-15,35.6403,39.16013602
2023-12-14,35.6262,38.43318829
2023-12-13,35.5724,38.3723036
2023-12-12,35.6248,38.40602813
2023-12-08,35.6018,38.39547324
2023-12-07,35.5974,38.4341568
2023-12-06,35.5578,38.47460633
2023-12-05,35.5228,38.44028756
2023-12-04,35.5806,38.60103713
2023-12-01,35.5131,38.75544603
2023-11-30,35.4939,38.9222558
2023-11-29,35.4784,38.92015958
2023-11-28,35.4708,38.78838392
2023-11-27,35.5021,38.83042187
2023-11-24,35.4854,38.71173256
2023-11-23,35.3916,38.44447941
2023-11-22,35.4186,38.76069909
2023-11-21,35.4511,38.7579786
2023-11-20,35.478,38.64228282
2023-11-17,35.4298,38.56746308
2023-11-16,35.4108,38.48127046
2023-11-15,35.3819,38.35150286
2023-11-14,35.3148,37.74551768
2023-11-13,35.3706,37.74361355
2023-11-10,35.3342,37.85847524
2023-11-09,35.2458,37.68304707
2023-11-08,35.1541,37.5660228
2023-11-07,35.236,37.77263964
2023-11-03,35.1724,37.42730256
2023-11-02,35.1535,37.09608241
2023-11-01,35.0653,37.21585484
2023-10-31,35.1276,37.19837202
2023-10-27,35.0919,36.99563557
2023-10-26,35.0222,37.08745913
2023-10-25,35.0278,37.10669993
2023-10-24,34.976,37.17913824
2023-10-23,34.9779,37.04369477
2023-10-20,34.8584,36.86066649
2023-10-19,34.8602,36.73567876
2023-10-18,34.8126,36.81467262
2023-10-17,34.8508,36.77282162
2023-10-16,34.8776,36.61345815
2023-10-13,34.9001,37.04122113
2023-10-11,34.8416,36.94498739
2023-10-10,34.8199,36.72141473
2023-10-09,34.8565,36.7736075
2023-10-06,34.7499,36.58677971
2023-10-05,34.7133,36.4815955
2023-10-04,34.6685,36.28959906
2023-10-03,34.4681,36.21287522
2023-10-02,34.4254,36.40795878
2023-09-29,34.3009,36.2220934
2023-09-28,34.2507,36.02077617
2023-09-27,34.0933,36.07275699
2023-09-26,34.0233,36.01876654
2023-09-25,33.9912,36.22374201
2023-09-22,33.9289,36.16515379
2023-09-21,33.8333,36.27301926
2023-09-20,33.8161,36.12878307
2023-09-19,33.6681,35.94305351
2023-09-18,33.6607,35.9065419
2023-09-15,33.5078,35.7451158
2023-09-14,33.4402,35.915778
2023-09-13,33.3371,35.75270626
2023-09-12,33.3401,35.71858273
2023-09-08,33.2157,35.55408528
2023-09-07,33.1115,35.45347639
2023-09-06,32.9394,35.29555528
2023-09-05,32.7921,35.37480579
2023-09-04,32.8151,35.42586935
2023-09-01,32.5984,35.33927347
2023-08-31,32.5079,35.54641341
2023-08-30,32.4284,35.16632981
2023-08-29,32.4371,35.05023277
2023-08-28,32.3445,34.86607722
2023-08-25,32.2956,35.0003565
2023-08-24,32.1785,34.92461319
2023-08-23,32.0079,34.73497308
2023-08-22,31.8337,34.67358437
2023-08-21,31.8473,34.64126362
2023-08-18,31.7535,34.57860889
2023-08-17,31.6117,34.48204236
2023-08-16,31.5098,34.46857022
